country_name,alpha_3_code,date,school_closing,school_closing_flag,school_closing_notes,workplace_closing,workplace_closing_flag,workplace_closing_notes,cancel_public_events,cancel_public_events_flag,cancel_public_events_notes,restrictions_on_gatherings,restrictions_on_gatherings_flag,restrictions_on_gatherings_notes,close_public_transit,close_public_transit_flag,close_public_transit_notes,stay_at_home_requirements,stay_at_home_requirements_flag,stay_at_home_requirements_notes,restrictions_on_internal_movement,restrictions_on_internal_movement_flag,restrictions_on_internal_movement_notes,international_travel_controls,international_travel_controls_notes,income_support,income_support_flag,income_support_notes,debt_contract_relief,debt_contract_relief_notes,fiscal_measures,fiscal_measures_notes,international_support,international_support_notes,public_information_campaigns,public_information_campaigns_flag,public_information_campaigns_notes,testing_policy,testing_policy_notes,contact_tracing,contact_tracing_notes,emergency_healthcare_investment,emergency_healthcare_investment_notes,vaccine_investment,vaccine_investment_notes,misc_wildcard,misc_wildcard_notes,confirmed_cases,deaths,stringency_index
Australia,AUS,2020-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27399,905,65.28
Australia,AUS,2020-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27430,905,65.28
Australia,AUS,2020-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27444,905,65.28
Australia,AUS,2020-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27466,905,65.28
Australia,AUS,2020-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.28
Australia,AUS,2020-01-01,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.0,,0.0,,0.00,,,0.00,No cases reported/confirmed in Australia until 25 January 2020.,0.00,No cases reported/confirmed in Australia until 25 January 2020.,0.0,,0.0,,,,0,0,0.0
Australia,AUS,2020-01-02,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.0,,0.0,,0.00,,,0.00,,0.00,,0.0,,0.0,,,,0,0,0.0
Australia,AUS,2020-01-03,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.0,,0.0,,0.00,,,0.00,,0.00,,0.0,,0.0,,,,0,0,0.0
Australia,AUS,2020-01-04,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.0,,0.0,,0.00,,,0.00,,0.00,,0.0,,0.0,,,,0,0,0.0
Australia,AUS,2020-01-05,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.0,,0.0,,0.00,,,0.00,,0.00,,0.0,,0.0,,,,0,0,0.0
Australia,AUS,2020-01-06,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.0,,0.0,,0.00,,,0.00,,0.00,,0.0,,0.0,,,,0,0,0.0
Australia,AUS,2020-01-07,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.0,,0.0,,0.00,,,0.00,,0.00,,0.0,,0.0,,,,0,0,0.0
Australia,AUS,2020-01-08,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.0,,0.0,,0.00,,,0.00,,0.00,,0.0,,0.0,,,,0,0,0.0
Australia,AUS,2020-01-09,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.0,,0.0,,0.00,,,0.00,,0.00,,0.0,,0.0,,,,0,0,0.0
Australia,AUS,2020-01-10,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.0,,0.0,,0.00,,,0.00,,0.00,,0.0,,0.0,,,,0,0,0.0
Australia,AUS,2020-01-11,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,0.00,,,0.00,,0.0,,0.0,,0.00,,,0.00,,0.00,,0.0,,0.0,,,,0,0,0.0
